Date,AM_HighTide,PM _HighTide,Floodheight
28/06/2024,7.32,7.46,8.3
29/06/2024,7.59,7.12,8.3
30/06/2024,7.4,7,8.3
01/07/2024,7.27,7,8.3
02/07/2024,7.24,7.13,8.3
03/07/2024,7.31,7.35,8.3
04/07/2024,7.45,7.6,8.3
05/07/2024,7.6,7.82,8.3
06/07/2024,7.7,7.95,8.3
07/07/2024,7.74,7.98,8.3
08/07/2024,7.7,7.92,8.3
09/07/2024,7.58,7.79,8.3
10/07/2024,7.41,7.61,8.3
11/07/2024,7.2,7.38,8.3
12/07/2024,6.96,7.12,8.3
13/07/2024,6.71,6.8,8.3
14/07/2024,6.85,6.48,8.3
15/07/2024,6.59,6.32,8.3
16/07/2024,6.42,6.32,8.3
17/07/2024,6.44,6.54,8.3
18/07/2024,6.65,6.92,8.3
19/07/2024,7,7.35,8.3
20/07/2024,7.38,7.77,8.3
21/07/2024,7.74,8.14,8.3
22/07/2024,8.03,8.42,8.3
23/07/2024,8.22,8.58,8.3
24/07/2024,8.28,8.61,8.3
25/07/2024,8.19,8.48,8.3
26/07/2024,7.97,8.2,8.3
27/07/2024,7.64,7.8,8.3
28/07/2024,7.49,7.26,8.3
29/07/2024,7.34,6.89,8.3
30/07/2024,6.92,6.67,8.3
31/07/2024,6.71,6.72,8.3
01/08/2024,6.78,7.01,8.3
02/08/2024,7.06,7.4,8.3
03/08/2024,7.37,7.73,8.3
04/08/2024,7.62,7.96,8.3
05/08/2024,7.78,8.07,8.3
06/08/2024,7.83,8.08,8.3
07/08/2024,7.81,8.01,8.3
08/08/2024,7.71,7.88,8.3
09/08/2024,7.55,7.67,8.3
10/08/2024,7.32,7.4,8.3
11/08/2024,7.04,7.06,8.3
12/08/2024,6.71,6.68,8.3
13/08/2024,6.52,6.4,8.3
14/08/2024,6.33,6.18,8.3
15/08/2024,6.15,6.28,8.3
16/08/2024,6.35,6.73,8.3
17/08/2024,6.84,7.34,8.3
18/08/2024,7.42,7.94,8.3
19/08/2024,7.96,8.46,8.3
20/08/2024,8.38,8.85,8.3
21/08/2024,8.65,9.05,8.3
22/08/2024,8.72,9.04,8.3
23/08/2024,8.59,8.8,8.3
24/08/2024,8.28,8.36,8.3
25/08/2024,7.81,7.76,8.3
26/08/2024,7.27,7.245,8.3
27/08/2024,7.1,6.73,8.3
28/08/2024,6.52,6.38,8.3
29/08/2024,6.27,6.49,8.3
30/08/2024,6.52,6.95,8.3
31/08/2024,6.98,7.45,8.3
01/09/2024,6.78,7.01,8.3
02/09/2024,7.06,7.4,8.3
03/09/2024,7.37,7.73,8.3
04/09/2024,7.62,7.96,8.3
05/09/2024,7.78,8.07,8.3
06/09/2024,7.83,8.08,8.3
07/09/2024,7.81,8.01,8.3
08/09/2024,7.71,7.88,8.3
09/09/2024,7.55,7.67,8.3
10/09/2024,7.32,7.4,8.3
11/09/2024,7.04,7.06,8.3
12/09/2024,6.71,6.68,8.3
13/09/2024,6.52,6.4,8.3
14/09/2024,6.33,6.18,8.3
15/09/2024,6.15,6.28,8.3
16/09/2024,6.35,6.73,8.3
17/09/2024,6.84,7.34,8.3
18/09/2024,7.42,7.94,8.3
19/09/2024,7.96,8.46,8.3
20/09/2024,8.38,8.85,8.3
21/09/2024,8.65,9.05,8.3
22/09/2024,8.72,9.04,8.3
23/09/2024,8.59,8.8,8.3
24/09/2024,8.28,8.36,8.3
25/09/2024,7.81,7.76,8.3
26/09/2024,7.27,7.245,8.3
27/09/2024,7.1,6.73,8.3
28/09/2024,6.52,6.38,8.3
29/09/2024,6.27,6.49,8.3
30/09/2024,6.52,6.95,8.3
31/08/2024,6.98,7.45,8.3
